Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,4965772933.407
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,2.549509756796,29.78469183517,2.549509756796
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,27.38679320936
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,-0.603101630937
4,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,0.9654091929386
5,j0p0MGALT: phase flight time,5184001,194983200,5022642.890479,60189706.14157
6,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,2189.536403152
7,j0p0MGALT: virtual chemical fuel,0,10000,10000,0
8,j0p0MGALT: virtual electric propellant,0,10000,10000,313.0817800895
9,j0p0MGALT: step 0 u_x,-1,1,1,-0.9500418067915
10,j0p0MGALT: step 0 u_y,-1,1,1,0.2874443166123
11,j0p0MGALT: step 0 u_z,-1,1,1,0.1216410524331
12,j0p0MGALT: step 1 u_x,-1,1,1,-0.9058238000856
13,j0p0MGALT: step 1 u_y,-1,1,1,-0.01983927553422
14,j0p0MGALT: step 1 u_z,-1,1,1,0.4231906001954
15,j0p0MGALT: step 2 u_x,-1,1,1,-0.6560255251303
16,j0p0MGALT: step 2 u_y,-1,1,1,0.0002255256126129
17,j0p0MGALT: step 2 u_z,-1,1,1,0.7547390902746
18,j0p0MGALT: step 3 u_x,-1,1,1,-0.5914943615347
19,j0p0MGALT: step 3 u_y,-1,1,1,0.3129598815945
20,j0p0MGALT: step 3 u_z,-1,1,1,0.7430954416097
21,j0p0MGALT: step 4 u_x,-1,1,1,-0.84271418732
22,j0p0MGALT: step 4 u_y,-1,1,1,0.3372080316913
