Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0FBLTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,4980445443.921
1,j0p0FBLTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,5.4102,29.78469183517,1.856539298153
2,j0p0FBLTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-9.022459858324
3,j0p0FBLTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.8807649797617
4,j0p0FBLTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,1
5,j0p0FBLT: phase flight time,5184001,194983200,5022642.890479,74148411.71687
6,j0p0FBLTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,2407.21460484
7,j0p0FBLT: virtual chemical fuel,0,10000,10000,0
8,j0p0FBLT: virtual electric propellant,0,10000,10000,372.905416236
9,j0p0FBLT: step 0 u_x,-1,1,1,-0.8491565300482
10,j0p0FBLT: step 0 u_y,-1,1,1,0.07891508912852
11,j0p0FBLT: step 0 u_z,-1,1,1,0.522212214299
12,j0p0FBLT: step 1 u_x,-1,1,1,-0.9660268952288
13,j0p0FBLT: step 1 u_y,-1,1,1,0.06145639042165
14,j0p0FBLT: step 1 u_z,-1,1,1,0.2510281863957
15,j0p0FBLT: step 2 u_x,-1,1,1,-0.993038742647
16,j0p0FBLT: step 2 u_y,-1,1,1,0.06194851958214
17,j0p0FBLT: step 2 u_z,-1,1,1,-0.100182018794
18,j0p0FBLT: step 3 u_x,-1,1,1,-0.8728337099777
19,j0p0FBLT: step 3 u_y,-1,1,1,0.1533286957431
20,j0p0FBLT: step 3 u_z,-1,1,1,-0.4633051112925
21,j0p0FBLT: step 4 u_x,-1,1,1,-0.6481524381279
22,j0p0FBLT: step 4 u_y,-1,1,1,0.337163458716
23,j0p0FBLT: step 4 u_z,-1,1,1,-0.6828024749994
24,j0p0FBLT: step 5 u_x,-1,1,1,-0.4777704969618
25,j0p0FBLT: step 5 u_y,-1,1,1,0.518479087798
26,j0p0FBLT: step 5 u_z,-1,1,1,-0.7091648530002
27,j0p0FBLT: step 6 u_x,-1,1,1,-0.4309241770184
28,j0p0FBLT: step 6 u_y,-1,1,1,0.6367612703872
29,j0p0FBLT: step 6 u_z,-1,1,1,-0.6394055355781
30,j0p0FBLT: step 7 u_x,-1,1,1,-0.4771917014425
31,j0p0FBLT: step 7 u_y,-1,1,1,0.6876558894846
32,j0p0FBLT: step 7 u_z,-1,1,1,-0.5471905136213
33,j0p0FBLT: step 8 u_x,-1,1,1,-0.5745262129278
34,j0p0FBLT: step 8 u_y,-1,1,1,0.6814672836395
35,j0p0FBLT: step 8 u_z,-1,1,1,-0.4533453125589
36,j0p0FBLT: step 9 u_x,-1,1,1,-0.6940706124362
37,j0p0FBLT: step 9 u_y,-1,1,1,0.6286812948069
38,j0p0FBLT: step 9 u_z,-1,1,1,-0.3507503601578
39,j0p0FBLT: step 10 u_x,-1,1,1,-0.8156227988186
40,j0p0FBLT: step 10 u_y,-1,1,1,0.5380422652659
41,j0p0FBLT: step 10 u_z,-1,1,1,-0.2127674123837
42,j0p0FBLT: step 11 u_x,-1,1,1,-0.9085965382419
43,j0p0FBLT: step 11 u_y,-1,1,1,0.4175286631108
44,j0p0FBLT: step 11 u_z,-1,1,1,0.01105202749254
45,j0p0FBLT: step 12 u_x,-1,1,1,-0.8869291693124
46,j0p0FBLT: step 12 u_y,-1,1,1,0.2851074970618
47,j0p0FBLT: step 12 u_z,-1,1,1,0.3634148662437
48,j0p0FBLT: step 13 u_x,-1,1,1,-0.6732488734262
49,j0p0FBLT: step 13 u_y,-1,1,1,0.2020790222939
50,j0p0FBLT: step 13 u_z,-1,1,1,0.7112664935603
51,j0p0FBLT: step 14 u_x,-1,1,1,-0.4537758853662
52,j0p0FBLT: step 14 u_y,-1,1,1,0.2182417861887
53,j0p0FBLT: step 14 u_z,-1,1,1,0.8639779919228
54,j0p0FBLT: step 15 u_x,-1,1,1,-0.3859667472391
55,j0p0FBLT: step 15 u_y,-1,1,1,0.2872326547323
56,j0p0FBLT: step 15 u_z,-1,1,1,0.8766567593098
57,j0p0FBLT: step 16 u_x,-1,1,1,-0.4538141411345
58,j0p0FBLT: step 16 u_y,-1,1,1,0.3484408655459
59,j0p0FBLT: step 16 u_z,-1,1,1,0.8201473583924
60,j0p0FBLT: step 17 u_x,-1,1,1,-0.6059855988144
61,j0p0FBLT: step 17 u_y,-1,1,1,0.3608713244489
62,j0p0FBLT: step 17 u_z,-1,1,1,0.708909967247
63,j0p0FBLT: step 18 u_x,-1,1,1,-0.7863645632969
64,j0p0FBLT: step 18 u_y,-1,1,1,0.3017333626116
65,j0p0FBLT: step 18 u_z,-1,1,1,0.5390619182506
66,j0p0FBLT: step 19 u_x,-1,1,1,-0.9345854773588
67,j0p0FBLT: step 19 u_y,-1,1,1,0.1740977523713
68,j0p0FBLT: step 19 u_z,-1,1,1,0.3102256572285
69,j0p0FBLT: step 20 u_x,-1,1,1,-0.9993109572137
70,j0p0FBLT: step 20 u_y,-1,1,1,0.01363386980882
71,j0p0FBLT: step 20 u_z,-1,1,1,0.03452142434597
72,j0p0FBLT: step 21 u_x,-1,1,1,-0.9574352006822
73,j0p0FBLT: step 21 u_y,-1,1,1,-0.1205770806242
74,j0p0FBLT: step 21 u_z,-1,1,1,-0.2622575154626
75,j0p0FBLT: step 22 u_x,-1,1,1,-0.8229560631282
76,j0p0FBLT: step 22 u_y,-1,1,1,-0.1716756469409
77,j0p0FBLT: step 22 u_z,-1,1,1,-0.5415448185936
78,j0p0FBLT: step 23 u_x,-1,1,1,-0.6429212165714
79,j0p0FBLT: step 23 u_y,-1,1,1,-0.116412473688
80,j0p0FBLT: step 23 u_z,-1,1,1,-0.7570339789555
81,j0p0FBLT: step 24 u_x,-1,1,1,-0.4781900369343
82,j0p0FBLT: step 24 u_y,-1,1,1,0.01773955865615
83,j0p0FBLT: step 24 u_z,-1,1,1,-0.8780772156995
84,j0p0FBLT: step 25 u_x,-1,1,1,-0.3694679041151
85,j0p0FBLT: step 25 u_y,-1,1,1,0.1765965462444
86,j0p0FBLT: step 25 u_z,-1,1,1,-0.9123086802161
87,j0p0FBLT: step 26 u_x,-1,1,1,-0.3217455592238
88,j0p0FBLT: step 26 u_y,-1,1,1,0.3219405857909
89,j0p0FBLT: step 26 u_z,-1,1,1,-0.8904122949862
90,j0p0FBLT: step 27 u_x,-1,1,1,-0.3194573262944
91,j0p0FBLT: step 27 u_y,-1,1,1,0.446206837667
92,j0p0FBLT: step 27 u_z,-1,1,1,-0.8359703798823
93,j0p0FBLT: step 28 u_x,-1,1,1,-0.3440883374245
94,j0p0FBLT: step 28 u_y,-1,1,1,0.5662821232098
95,j0p0FBLT: step 28 u_z,-1,1,1,-0.7489511166565
96,j0p0FBLT: step 29 u_x,-1,1,1,-0.3765334086717
97,j0p0FBLT: step 29 u_y,-1,1,1,0.7194533498733
98,j0p0FBLT: step 29 u_z,-1,1,1,-0.5836175739342
99,j0p0FBLT: step 30 u_x,-1,1,1,0.0002627632906154
100,j0p0FBLT: step 30 u_y,-1,1,1,0.0001284082725324
101,j0p0FBLT: step 30 u_z,-1,1,1,2.2582033538e-05
102,j0p0FBLT: step 31 u_x,-1,1,1,-0.0001352501967656
103,j0p0FBLT: step 31 u_y,-1,1,1,0.0003883587815006
104,j0p0FBLT: step 31 u_z,-1,1,1,-0.0006164910707681
105,j0p0FBLT: step 32 u_x,-1,1,1,-0.03749197134191
106,j0p0FBLT: step 32 u_y,-1,1,1,0.6642006364504
107,j0p0FBLT: step 32 u_z,-1,1,1,0.7466136025674
108,j0p0FBLT: step 33 u_x,-1,1,1,-0.01085920442779
109,j0p0FBLT: step 33 u_y,-1,1,1,0.5655831436185
110,j0p0FBLT: step 33 u_z,-1,1,1,0.8246197851722
111,j0p0FBLT: step 34 u_x,-1,1,1,-0.06632571941144
