Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
109,j1p0MGALT: step 10 u_y,-1,1,1,-0.8357043416971
110,j1p0MGALT: step 10 u_z,-1,1,1,0.03386789075013
111,j1p0MGALT: step 11 u_x,-1,1,1,-0.5651855436714
112,j1p0MGALT: step 11 u_y,-1,1,1,-0.8172119753431
113,j1p0MGALT: step 11 u_z,-1,1,1,-0.112880797506
114,j1p0MGALT: step 12 u_x,-1,1,1,-0.000875287027666
115,j1p0MGALT: step 12 u_y,-1,1,1,-0.0009046675492558
116,j1p0MGALT: step 12 u_z,-1,1,1,-0.0006858007351399
117,j1p0MGALT: step 13 u_x,-1,1,1,-0.002630695133077
118,j1p0MGALT: step 13 u_y,-1,1,1,-0.0007492976642983
119,j1p0MGALT: step 13 u_z,-1,1,1,-0.003354697148784
120,j1p0MGALT: step 14 u_x,-1,1,1,-0.01265809239656
121,j1p0MGALT: step 14 u_y,-1,1,1,0.003924030167877
122,j1p0MGALT: step 14 u_z,-1,1,1,-0.01863315279043
123,j1p0MGALT: step 15 u_x,-1,1,1,-0.3539813048085
124,j1p0MGALT: step 15 u_y,-1,1,1,0.2670410602826
125,j1p0MGALT: step 15 u_z,-1,1,1,-0.8963243008539
126,j1p0MGALT: step 16 u_x,-1,1,1,-0.2806416422271
127,j1p0MGALT: step 16 u_y,-1,1,1,0.336864042161
128,j1p0MGALT: step 16 u_z,-1,1,1,-0.8987621409549
129,j1p0MGALT: step 17 u_x,-1,1,1,-0.2215200844843
130,j1p0MGALT: step 17 u_y,-1,1,1,0.3698607648238
131,j1p0MGALT: step 17 u_z,-1,1,1,-0.9022983849012
132,j1p0MGALT: step 18 u_x,-1,1,1,-0.1683371587511
133,j1p0MGALT: step 18 u_y,-1,1,1,0.3871214760438
134,j1p0MGALT: step 18 u_z,-1,1,1,-0.906536202719
135,j1p0MGALT: step 19 u_x,-1,1,1,-0.113503512868
136,j1p0MGALT: step 19 u_y,-1,1,1,0.3981628955873
137,j1p0MGALT: step 19 u_z,-1,1,1,-0.9102686586045
Findex, Description, Lowerbound, Upperbound, Value
0,objective function,-1e+30,1e+30,-0.2176061488994
1,j0p0MGALT: step 0 control magnitude,0,1,1.000000161002
2,j0p0MGALT: step 1 control magnitude,0,1,1.000000049444
3,j0p0MGALT: step 2 control magnitude,0,1,1.000000133836
4,j0p0MGALT: step 3 control magnitude,0,1,1.00000012992
5,j0p0MGALT: step 4 control magnitude,0,1,1.000000240821
6,j0p0MGALT: step 5 control magnitude,0,1,1.00000028149
7,j0p0MGALT: step 6 control magnitude,0,1,1.000000507641
8,j0p0MGALT: step 7 control magnitude,0,1,1.000000608101
9,j0p0MGALT: step 8 control magnitude,0,1,1.000000213951
